id,gender,masterCategory,subCategory,articleType,season,usage,image_path,image_full_path
15970,Men,Apparel,Topwear,Shirts,Fall,Casual,15970.jpg,/content/outfit_data/Fashion Product Images (Small)/images/15970.jpg
39386,Men,Apparel,Bottomwear,Jeans,Summer,Casual,39386.jpg,/content/outfit_data/Fashion Product Images (Small)/images/39386.jpg
21379,Men,Apparel,Bottomwear,Track Pants,Fall,Casual,21379.jpg,/content/outfit_data/Fashion Product Images (Small)/images/21379.jpg
53759,Men,Apparel,Topwear,Tshirts,Summer,Casual,53759.jpg,/content/outfit_data/Fashion Product Images (Small)/images/53759.jpg
1855,Men,Apparel,Topwear,Tshirts,Summer,Casual,1855.jpg,/content/outfit_data/Fashion Product Images (Small)/images/1855.jpg
30805,Men,Apparel,Topwear,Shirts,Summer,Ethnic,30805.jpg,/content/outfit_data/Fashion Product Images (Small)/images/30805.jpg
26960,Women,Apparel,Topwear,Shirts,Summer,Casual,26960.jpg,/content/outfit_data/Fashion Product Images (Small)/images/26960.jpg
12369,Men,Apparel,Topwear,Shirts,Fall,Formal,12369.jpg,/content/outfit_data/Fashion Product Images (Small)/images/12369.jpg
42419,Girls,Apparel,Topwear,Tops,Summer,Casual,42419.jpg,/content/outfit_data/Fashion Product Images (Small)/images/42419.jpg
13089,Men,Apparel,Topwear,Sweatshirts,Fall,Sports,13089.jpg,/content/outfit_data/Fashion Product Images (Small)/images/13089.jpg
7990,Men,Apparel,Topwear,Tshirts,Fall,Sports,7990.jpg,/content/outfit_data/Fashion Product Images (Small)/images/7990.jpg
37812,Men,Apparel,Topwear,Shirts,Summer,Formal,37812.jpg,/content/outfit_data/Fashion Product Images (Small)/images/37812.jpg
4729,Boys,Apparel,Topwear,Tshirts,Summer,Casual,4729.jpg,/content/outfit_data/Fashion Product Images (Small)/images/4729.jpg
56825,Men,Apparel,Topwear,Shirts,Summer,Casual,56825.jpg,/content/outfit_data/Fashion Product Images (Small)/images/56825.jpg
20099,Women,Apparel,Topwear,Kurtas,Fall,Ethnic,20099.jpg,/content/outfit_data/Fashion Product Images (Small)/images/20099.jpg
3954,Women,Apparel,Topwear,Tshirts,Summer,Casual,3954.jpg,/content/outfit_data/Fashion Product Images (Small)/images/3954.jpg
28690,Women,Apparel,Topwear,Kurtas,Summer,Ethnic,28690.jpg,/content/outfit_data/Fashion Product Images (Small)/images/28690.jpg
8580,Men,Apparel,Topwear,Waistcoat,Fall,Casual,8580.jpg,/content/outfit_data/Fashion Product Images (Small)/images/8580.jpg
18005,Men,Apparel,Bottomwear,Shorts,Summer,Sports,18005.jpg,/content/outfit_data/Fashion Product Images (Small)/images/18005.jpg
9452,Men,Apparel,Topwear,Shirts,Fall,Formal,9452.jpg,/content/outfit_data/Fashion Product Images (Small)/images/9452.jpg
45856,Women,Apparel,Topwear,Kurtas,Summer,Ethnic,45856.jpg,/content/outfit_data/Fashion Product Images (Small)/images/45856.jpg
5891,Men,Apparel,Topwear,Tshirts,Summer,Casual,5891.jpg,/content/outfit_data/Fashion Product Images (Small)/images/5891.jpg
38630,Women,Apparel,Topwear,Tshirts,Summer,Casual,38630.jpg,/content/outfit_data/Fashion Product Images (Small)/images/38630.jpg
4943,Men,Apparel,Topwear,Shirts,Summer,Casual,4943.jpg,/content/outfit_data/Fashion Product Images (Small)/images/4943.jpg
10866,Men,Apparel,Topwear,Tshirts,Fall,Casual,10866.jpg,/content/outfit_data/Fashion Product Images (Small)/images/10866.jpg
15528,Men,Apparel,Topwear,Tshirts,Fall,Casual,15528.jpg,/content/outfit_data/Fashion Product Images (Small)/images/15528.jpg
54924,Men,Apparel,Bottomwear,Shorts,Summer,Casual,54924.jpg,/content/outfit_data/Fashion Product Images (Small)/images/54924.jpg
9660,Men,Apparel,Topwear,Shirts,Fall,Casual,9660.jpg,/content/outfit_data/Fashion Product Images (Small)/images/9660.jpg
2288,Women,Apparel,Topwear,Tshirts,Fall,Sports,2288.jpg,/content/outfit_data/Fashion Product Images (Small)/images/2288.jpg
23876,Men,Apparel,Topwear,Sweatshirts,Fall,Casual,23876.jpg,/content/outfit_data/Fashion Product Images (Small)/images/23876.jpg
18237,Men,Apparel,Topwear,Tshirts,Fall,Casual,18237.jpg,/content/outfit_data/Fashion Product Images (Small)/images/18237.jpg
49653,Women,Apparel,Topwear,Tops,Summer,Casual,49653.jpg,/content/outfit_data/Fashion Product Images (Small)/images/49653.jpg
13419,Men,Apparel,Topwear,Tshirts,Summer,Casual,13419.jpg,/content/outfit_data/Fashion Product Images (Small)/images/13419.jpg
58513,Women,Apparel,Topwear,Tops,Summer,Casual,58513.jpg,/content/outfit_data/Fashion Product Images (Small)/images/58513.jpg
